Timestamp,AF7 Value,TP9 Value
1731386384.854929,10.570693894661204,7.748845862245247
1731386384.864673,2.802890870311046,-6.118021591467183
1731386384.870996,-39.169169323453104,-47.21329139468785
1731386384.901057,-42.1157204242088,-48.97187768421971
1731386384.902629,-42.64337279424406,-49.624676458576445
1731386384.932604,34.15873277407928,34.68223719932993
1731386384.935636,38.93917733680826,40.19476792202147
1731386384.966075,-22.20559425691212,-22.858111178054187
1731386384.968722,-55.52165771487893,-63.19242517309887
1731386385.000318,-34.97050845230075,-33.267753283261925
1731386385.002267,-19.337109122326908,-17.49240198034036
1731386385.031269,36.21248831031909,38.280849127094456
1731386385.034981,40.58418340753332,41.85699804762865
1731386385.066384,36.06449089256549,37.44786783195789
1731386385.068449,-54.595176834589594,-65.40841198675052
1731386385.09926,-55.63232609013979,-67.61472440636591
1731386385.101059,-36.70157471611366,-52.71789225154383
1731386385.132863,40.06336352102238,41.771115101097024
1731386385.135187,44.02778611905856,45.66820314351381
1731386385.162925,39.80392652626173,41.575304590986065
1731386385.167995,-42.03919993133102,-38.175489713282026
1731386385.199243,-60.578366887567704,-66.0273825684384
1731386385.201372,-61.58289501073764,-65.28285984227527
1731386385.231775,39.467929791914145,46.32773309004088
1731386385.235017,43.22714733908944,49.690384942247704
1731386385.257178,37.351309078199534,46.126058439614326
1731386385.268298,-20.38248168453252,-17.523241184074195
1731386385.299731,-46.32483087393954,-58.183030544742934
1731386385.303473,-65.9789988544906,-66.31970719226318
1731386385.332063,-24.489822655613196,-17.808025896407386
1731386385.335419,38.06714636801712,43.41711348381767
1731386385.364922,32.132733758061505,46.64239309822557
1731386385.368666,25.612527098839195,2.8897069433996876
1731386385.399772,-39.08900721933869,-16.170907675291318
1731386385.401735,-45.814751675498556,-57.12195852413267
1731386385.43201,-48.73711083277402,-19.48738347615621
1731386385.433743,-36.185953056154304,-10.11735703973386
1731386385.465481,26.47014013748094,36.708637520972786
1731386385.467729,33.334171816831,40.655950017901404
1731386385.490602,-11.105038710276474,-11.835852689609112
1731386385.502107,-16.033221979479478,-19.846125648825478
1731386385.529672,-26.25217927055617,-45.049786093238275
1731386385.534167,-19.974800344141258,-22.65077770730292
1731386385.565704,-15.179752813101942,-12.227709020535286
1731386385.568993,33.95651008989435,38.646632854442544
1731386385.597456,39.110701965331174,43.45962889029903
1731386385.602569,-24.281928548666784,-21.966790077331126
1731386385.633134,-68.12023861087393,-64.73254680083001
1731386385.634763,-38.13874040829598,-41.56863219137282
1731386385.660608,-11.92193527873171,-16.05781276408436
1731386385.66831,41.39495245205802,39.815048749337336
1731386385.698585,41.69804953254791,44.43117480691083
1731386385.701169,38.153939795827256,40.69948871000605
1731386385.733414,-58.13310983301286,-65.74498430950605
1731386385.735065,-55.291704641161374,-65.28698587030294
1731386385.763769,-48.73294215256788,-50.8478478905474
1731386385.768929,46.647301010715694,50.53599244867621
