Time (ms),Raw ECG
2816.01,563.14
2824.00,547.19
2832.00,523.78
2840.00,460.76
2848.01,404.69
2856.01,366.21
2864.00,313.72
2872.01,268.51
2880.00,228.89
2888.00,184.21
2896.01,145.60
2904.00,108.15
2912.01,70.37
2920.00,36.29
2928.01,2.73
2936.00,-29.50
2944.01,-59.48
2952.01,-88.72
2960.01,-116.34
2968.01,-142.41
2976.00,-167.39
2984.01,-190.94
2992.00,-213.20
3000.00,-234.22
3008.00,-253.84
3016.00,-271.78
3024.00,-289.22
3032.01,-305.84
3040.01,-321.25
3048.00,-335.44
3056.00,-348.72
3064.01,-360.94
3072.01,-372.16
3080.00,-382.53
3088.01,-391.84
3096.00,-400.44
3104.01,-408.16
3112.00,-414.84
3120.01,-420.69
3128.01,-425.88
3136.01,-430.38
3144.00,-433.97
3152.01,-437.03
3160.00,-439.28
3168.01,-440.91
3176.00,-441.81
3184.01,-442.06
3192.00,-441.91
3200.01,-440.91
3208.01,-439.63
3216.01,-437.59
3224.00,-435.22
3232.01,-432.22
3240.01,-428.91
3248.00,-424.97
3256.00,-420.72
3264.00,-416.03
3272.01,-410.91
3280.01,-405.34
3288.01,-399.59
3296.01,-393.50
3304.01,-387.03
3312.00,-380.16
3320.01,-373.03
3328.01,-365.84
3336.00,-358.22
3344.00,-350.38
3352.00,-342.41
3360.01,-334.13
3368.00,-325.72
3376.00,-317.03
3384.01,-308.31
3392.01,-299.44
3400.00,-290.34
3408.00,-281.13
3416.00,-271.84
3424.00,-262.50
3432.00,-253.47
3440.01,-244.28
3448.00,-234.13
3456.00,-223.91
3464.00,-214.53
3472.01,-204.88
3480.00,-195.00
3488.00,-185.22
3496.01,-175.53
3504.01,-165.81
3512.01,-156.34
3520.01,-146.63
3528.01,-137.81
3536.01,-128.44
3544.01,-117.72
3552.01,-108.19
3560.00,-100.25
3568.00,-91.19
3576.00,-80.70
3584.01,-70.48
3592.01,-62.06
3600.01,-53.77
3608.00,-44.30
3616.01,-35.05
3624.00,-27.28
3632.01,-19.27
3640.00,-10.64
3648.00,-2.45
3656.01,5.63
3664.01,13.77
3672.01,21.62
3680.01,29.07
3688.01,37.00
3696.00,45.23
3704.01,52.05
3712.01,58.20
3720.00,64.94
3728.01,72.27
3736.00,78.41
3744.00,84.89
3752.00,91.07
3760.01,97.20
3768.00,102.90
3776.01,108.56
3784.01,114.16
3792.00,119.46
3800.00,124.46
3808.01,129.54
3816.01,134.32
3824.00,138.93
3832.00,143.35
3840.01,147.61
3848.00,151.69
3856.01,155.48
3864.00,159.34
3872.00,162.78
3880.00,166.19
3888.00,169.28
3896.00,169.48
3904.01,155.55
3912.01,129.06
3920.00,122.23
3928.00,135.06
3936.00,136.22
3944.00,127.00
3952.01,101.14
3960.00,67.92
3968.01,90.70
3976.01,178.70
3984.01,208.36
